work_year,experience_level,employment_type,job_title,salary_currency,employee_residence,remote_ratio,company_location,company_size
2022,MI,FT,Principal Data Scientist,USD,IN,0,IN,M
2023,SE,FT,Data Analyst,USD,PT,0,IN,M
2023,SE,FT,Applied Scientist,USD,US,100,US,L
2021,MI,FT,Machine Learning Engineer,USD,NL,0,NL,S
2022,EN,FT,Data Scientist,USD,GB,0,GB,M
2023,SE,FT,Deep Learning Engineer,USD,CL,0,CL,M
2022,SE,FT,ML Ops Engineer,USD,NL,100,US,M
2023,SE,FT,BI Analyst,USD,US,0,US,M
2022,SE,FT,Quantitative Analyst,USD,AE,100,SE,M
2022,SE,FT,Data Science Manager,USD,MX,100,MX,L
2023,SE,FT,Statistician,USD,NZ,50,NZ,M
2023,EN,FT,Research Scientist,USD,CL,0,CL,M
2022,SE,FT,Data Engineer,USD,DK,0,MY,M
2022,SE,FT,Data Specialist,USD,CA,0,PL,M
2021,MI,FT,AI Engineer,USD,CH,0,CH,M
2023,SE,FT,BI Analyst,USD,US,0,US,M
2022,SE,FT,Data Analyst,USD,PL,0,PL,M
2022,MI,FT,Machine Learning Engineer,USD,IT,0,IT,M
2021,MI,FT,Machine Learning Engineer,USD,GR,0,GR,M
2021,SE,FT,Machine Learning Engineer,USD,PL,50,PL,M
2022,SE,FT,Big Data Engineer,USD,CA,0,CA,L
2023,MI,FT,Principal Data Scientist,USD,AR,0,AR,M
2023,SE,FT,AI Researcher,USD,SG,0,SG,L
2021,EN,FT,Data Analyst,USD,DE,100,FR,M
2023,EN,FT,Data Architect,USD,GR,0,GR,M
2023,MI,FT,Data Scientist,USD,DK,0,DK,M
2023,SE,FT,Data Product Manager,USD,CZ,100,CZ,M
2023,SE,FT,Data Consultant,USD,DE,100,IN,M
2023,SE,FT,Data Architect,USD,GR,0,GR,M
2022,MI,FT,Data Engineer,USD,ES,100,MX,M
2022,MI,FT,Data Engineer,USD,SE,0,SE,M
2023,EN,FT,Data Engineer,USD,IN,0,IN,M
2023,SE,FT,Data Scientist,USD,IN,100,IN,L
2022,MI,FT,ML Engineer,USD,CA,0,CH,M
2023,EX,FT,Statistician,USD,SG,50,SG,M
2023,MI,FT,Data Architect,USD,GB,0,GB,M
2023,EN,FT,Data Scientist,USD,IN,50,IN,M
2022,SE,PT,Machine Learning Engineer,USD,CH,0,CL,M
2023,MI,FT,BI Analyst,USD,KR,50,KR,M
2023,EX,FT,Data Specialist,USD,US,0,US,M
2023,MI,FT,Data Scientist,USD,SE,0,SE,L
2023,SE,FT,Data Analyst,USD,DE,100,DE,L
2023,MI,FT,Data Science Manager,USD,US,0,US,M
2023,SE,FT,Data Architect,USD,AR,100,IT,L
2022,MI,FT,Data Scientist,USD,US,0,US,L
2023,SE,FT,Data Scientist,USD,NZ,0,PT,M
2022,SE,FT,Data Engineer,USD,IN,100,IN,S
2021,SE,FT,BI Analyst,USD,IN,50,IN,S
2021,SE,FT,Data Analyst,USD,GB,50,GB,L
2021,SE,FT,Applied Scientist,USD,FR,100,FR,M
2021,EX,FT,Applied Scientist,USD,US,100,US,L
2022,SE,FT,Statistician,USD,GB,0,GB,L
2022,EN,FT,Research Scientist,USD,PL,100,PL,M
2023,MI,FT,BI Analyst,USD,IN,100,IN,M
2021,SE,FT,Data Engineer,USD,AU,0,AU,L
2023,MI,FT,BI Analyst,USD,ES,0,ES,L
2023,EN,FT,ML Engineer,USD,KR,0,SG,M
2022,SE,FT,Data Scientist,USD,KR,0,KR,M
2023,SE,FT,NLP Engineer,USD,AU,100,AU,L
2022,MI,FT,Data Engineer,USD,GB,0,GB,M
2022,MI,FT,Data Engineer,USD,FR,100,FR,L
2023,SE,FT,Analytics Engineer,USD,PL,100,PL,M
2023,SE,FT,Data Scientist,USD,BR,100,BR,M
2023,SE,FT,Data Science Manager,USD,IT,100,DE,M
2023,MI,FT,Data Scientist,USD,NL,0,GB,M
2023,SE,FT,Data Scientist,USD,PL,0,PL,M
2023,SE,FT,Head of Data,USD,AU,100,AU,L
2022,SE,FT,Statistician,USD,PL,0,IN,L
2022,SE,FT,Data Analyst,USD,IE,50,CL,L
2022,SE,FT,Data Scientist,USD,US,100,IN,M
2022,EN,FT,Data Architect,USD,US,0,US,M
2023,SE,FT,Data Scientist,USD,MY,100,MY,M
2023,SE,FT,Data Engineer,USD,AR,100,DK,M
2023,MI,FT,BI Analyst,USD,KR,100,KR,L
2022,MI,FT,Research Scientist,USD,US,0,US,M
2023,SE,FT,AI Engineer,USD,ES,100,ES,M
2021,MI,FT,Data Engineer,USD,US,0,US,M
2022,MI,FT,Data Engineer,USD,CA,100,CA,L
2023,MI,FT,Data Engineer,USD,FR,0,FR,M
2023,MI,CT,Analytics Engineer,USD,MX,0,US,L
2023,EX,FT,Data Architect,USD,IE,0,IE,L
2022,MI,FT,Computer Vision Engineer,USD,BR,100,BR,M
2022,MI,FL,Data Scientist,USD,IT,0,IT,S
2023,SE,FT,Data Consultant,USD,JP,100,JP,L
2023,SE,CT,AI Researcher,USD,AE,0,IN,L
2023,MI,FT,Data Engineer,USD,FR,0,FR,S
2021,MI,FT,Data Architect,USD,SE,100,SE,M
2023,SE,FT,Data Science Manager,USD,CA,0,CA,M
2022,MI,FT,Big Data Engineer,USD,PT,50,PT,M
2023,MI,FT,Data Analyst,USD,CZ,50,CZ,M
2023,SE,FT,Data Engineer,USD,BR,0,BR,L
2022,EN,FT,BI Analyst,USD,DE,0,DE,M
2022,MI,FT,Principal Data Scientist,USD,ES,0,ES,L
2022,SE,FT,BI Analyst,USD,MY,100,MY,L
2023,SE,FT,Data Scientist,USD,GR,100,GR,M
2022,SE,FT,Data Analyst,USD,NL,100,NL,L
2021,MI,FT,Data Scientist,USD,MX,100,MX,M
2023,SE,PT,Data Architect,USD,BR,100,BR,S
2023,SE,FT,Data Engineer,USD,AE,50,NO,M
2022,EN,FT,Principal Data Scientist,USD,BR,0,BR,S
2022,SE,FT,Data Scientist,USD,NL,100,IN,M
2022,SE,FT,ML Ops Engineer,USD,DE,0,ES,M
2022,SE,PT,Data Analyst,USD,CA,100,CA,L
2023,SE,CT,Data Specialist,USD,GB,100,GB,S
2023,SE,FT,Data Engineer,USD,IT,0,IT,M
2023,SE,FT,AI Researcher,USD,NL,100,NL,M
2023,EN,FT,Data Engineer,USD,US,50,US,L
2023,SE,FT,Deep Learning Engineer,USD,IN,50,IN,M
2021,SE,FT,Analytics Engineer,USD,US,0,US,M
2023,MI,FT,Data Specialist,USD,CH,0,DE,L
2022,EN,FT,Director of Data Science,USD,MX,100,MX,L
2022,SE,FT,Business Intelligence Engineer,USD,GB,100,GB,S
2022,SE,FT,Analytics Engineer,USD,CZ,0,CZ,M
2021,EN,FT,Analytics Engineer,USD,KR,100,KR,M
2022,SE,FT,Computer Vision Engineer,USD,CL,100,MY,M
2023,EX,FT,ML Ops Engineer,USD,IN,100,IN,S
2023,EN,FT,Research Scientist,USD,US,100,US,M
2022,EX,CT,Data Engineer,USD,AU,0,US,M
2023,EX,FT,AI Engineer,USD,US,100,US,L
2023,SE,FT,Machine Learning Engineer,USD,MY,100,MY,S
2023,MI,FT,Data Engineer,USD,US,0,US,M
2022,SE,FT,Deep Learning Engineer,USD,NZ,100,NZ,S
2023,SE,FT,Data Analyst,USD,US,100,US,M
2022,MI,FT,Principal Data Scientist,USD,IT,0,IT,M
2023,SE,FT,Data Engineer,USD,DE,0,DE,L
2023,SE,PT,AI Researcher,USD,AU,100,AU,L
2023,EN,PT,BI Analyst,USD,KR,100,KR,L
2023,SE,FT,Data Scientist,USD,ES,0,ES,L
2021,MI,FT,Research Scientist,USD,GB,0,GB,M
2021,SE,FT,Analytics Engineer,USD,CH,0,CL,S
2022,SE,FT,Data Science Manager,USD,CH,50,US,L
2023,MI,FT,Data Governance Analyst,USD,FR,50,FR,L
2023,SE,FT,Head of Data,USD,MY,0,IN,M
2023,MI,FT,Machine Learning Engineer,USD,JP,0,JP,M
2023,SE,FT,BI Analyst,USD,US,50,US,L
2022,EX,FT,AI Engineer,USD,HU,0,HU,L
2021,SE,FT,Quantitative Analyst,USD,DE,0,DE,L
2023,EX,FT,Data Scientist,USD,PL,100,PL,M
2023,SE,FT,Data Scientist,USD,JP,50,DK,M
2023,MI,FT,Principal Data Scientist,USD,KR,0,KR,M
2023,EN,FT,Machine Learning Engineer,USD,IT,0,IT,L
2023,SE,FT,Data Architect,USD,PL,100,PL,M
2022,SE,FT,Data Engineer,USD,MX,100,MX,M
2023,SE,FT,Data Engineer,USD,US,0,US,S
2021,EX,FT,Data Engineer,USD,MY,100,MY,M
2023,MI,FT,Deep Learning Engineer,USD,US,50,US,M
2022,SE,FT,Data Architect,USD,DE,50,DE,M
2023,SE,FT,Data Science Manager,USD,NO,100,NO,L
2021,MI,FT,Big Data Engineer,USD,MX,0,MX,L
2023,SE,FT,Head of Data,USD,DK,50,DK,M
2023,SE,FT,Principal Data Scientist,USD,IE,100,CA,M
2023,SE,FT,Applied Scientist,USD,CL,0,CL,L
2022,SE,FT,Big Data Engineer,USD,FR,100,FR,M
2022,SE,FT,AI Engineer,USD,AU,50,AU,M
2022,SE,FT,Lead Data Scientist,USD,NL,100,AR,M
2022,SE,FT,Analytics Engineer,USD,US,100,US,S
2021,EN,FT,Data Scientist,USD,US,0,US,M
2022,EX,FT,BI Analyst,USD,FR,100,FR,L
2022,SE,FT,Machine Learning Engineer,USD,CA,0,CA,L
2022,SE,FT,Analytics Engineer,USD,DE,50,DE,M
2021,SE,FT,BI Analyst,USD,CA,0,CA,M
2021,SE,FT,AI Engineer,USD,US,0,US,L
2022,EN,FT,Applied Scientist,USD,US,100,US,L
2023,MI,FT,Machine Learning Engineer,USD,US,100,US,L
2022,EX,FT,Head of Data,USD,GB,0,GB,S
2023,SE,FT,Applied Scientist,USD,US,100,US,S
2023,EX,FT,BI Analyst,USD,NZ,100,NZ,L
2023,SE,FT,NLP Engineer,USD,IT,0,NL,L
2023,SE,FT,Data Scientist,USD,US,100,US,L
2023,SE,FT,Data Architect,USD,IN,100,IN,S
2023,SE,FT,Business Intelligence Engineer,USD,DE,50,DE,M
2023,MI,FT,Machine Learning Engineer,USD,PT,100,BR,M
2023,SE,FT,Data Governance Analyst,USD,MX,50,MX,L
2023,MI,FT,Big Data Engineer,USD,US,100,US,S
2022,MI,FT,Applied Scientist,USD,CH,100,CH,M
2022,EX,FT,Data Analyst,USD,IN,100,IN,M
2023,MI,FT,Data Analyst,USD,NO,50,TR,S
2021,SE,FT,Lead Data Scientist,USD,AE,0,AE,M
2021,SE,FT,ML Engineer,USD,DE,0,DE,M
2022,MI,FT,AI Engineer,USD,IN,0,IN,M
2022,SE,FT,Data Engineer,USD,NL,0,NL,M
2021,MI,FT,Data Analyst,USD,GB,100,GB,L
2023,EN,FT,Head of Data,USD,GB,100,GB,S
2023,SE,FT,Head of Data,USD,GB,0,GB,M
2023,MI,FT,ML Engineer,USD,NO,0,US,M
2023,MI,FT,Big Data Engineer,USD,DE,0,DE,M
2022,SE,FT,Data Engineer,USD,US,0,US,M
2023,SE,FT,BI Analyst,USD,PT,100,GB,L
2021,MI,FT,Research Scientist,USD,CA,0,CA,M
2023,SE,FT,Data Science Manager,USD,US,100,US,S
2022,SE,FT,AI Engineer,USD,BR,0,BR,M
2023,EN,FT,NLP Engineer,USD,NL,100,GB,L
2023,MI,FT,Data Scientist,USD,TR,0,TR,M
2022,SE,FT,Data Analyst,USD,GB,0,GB,M
2023,MI,FT,Machine Learning Engineer,USD,NZ,50,NZ,M
2023,SE,FT,Data Analyst,USD,IT,50,US,M
2023,EX,FT,Decision Scientist,USD,CA,100,CA,M
2023,EX,FT,Head of Data,USD,BR,0,BR,M
2023,EN,FT,Decision Scientist,USD,GR,100,SG,M
2022,MI,FT,Research Scientist,USD,JP,0,JP,L
2021,EN,FT,Data Scientist,USD,JP,100,JP,L
2022,MI,FT,Data Scientist,USD,GB,100,GB,M
2023,SE,FT,AI Engineer,USD,GB,100,GB,L
2023,EN,FT,Data Scientist,USD,BR,0,AU,L
2022,SE,FT,Data Scientist,USD,CA,0,CA,M
2023,MI,FT,ML Engineer,USD,TR,0,FR,M
2022,EN,FT,AI Researcher,USD,IN,50,IN,M
2022,SE,FT,ML Engineer,USD,NO,100,CA,M
2022,MI,FT,Data Engineer,USD,KR,0,IN,M
2021,MI,FT,Applied Scientist,USD,US,100,US,M
2022,SE,PT,AI Engineer,USD,PT,0,PT,L
2022,EN,FT,Data Engineer,USD,BR,100,BR,M
2022,SE,FT,BI Analyst,USD,IT,100,IT,M
2023,SE,FT,Data Scientist,USD,JP,0,JP,L
2022,SE,FT,NLP Engineer,USD,CA,100,CA,M
2023,MI,FT,Data Governance Analyst,USD,CH,50,CH,S
2023,MI,FT,Data Engineer,USD,MX,100,US,L
2022,EN,FT,Data Architect,USD,JP,100,JP,M
2022,SE,FT,Data Architect,USD,IN,100,IN,M
2022,SE,FT,Data Architect,USD,PL,100,PL,M
2023,SE,FT,Data Scientist,USD,GR,100,GR,M
2022,EN,FT,Machine Learning Engineer,USD,SG,100,SG,M
2022,EN,FT,AI Researcher,USD,GB,0,GB,M
2022,EX,FT,NLP Engineer,USD,IN,100,IN,M
2021,SE,FT,Data Analyst,USD,US,0,US,M
2021,SE,CT,Data Scientist,USD,CA,0,CA,M
2021,SE,FT,Data Governance Analyst,USD,HU,100,HU,L
2021,SE,FT,Research Scientist,USD,US,100,US,L
2023,SE,FT,Computer Vision Engineer,USD,DE,100,IN,L
2023,MI,FT,Principal Data Scientist,USD,IN,100,IN,M
2021,EN,FT,Decision Scientist,USD,FR,0,FR,L
2023,SE,CT,Data Architect,USD,FR,100,KR,M
2023,SE,FT,Applied Scientist,USD,SG,0,GB,M
2022,SE,FT,Deep Learning Engineer,USD,IT,0,IT,M
2023,SE,FT,Data Engineer,USD,AU,100,AU,M
2022,MI,FT,Data Analyst,USD,HU,0,HU,L
2023,EN,FT,Data Specialist,USD,US,50,US,M
2023,EN,FT,Data Scientist,USD,GB,0,MX,M
2023,MI,FT,Principal Data Scientist,USD,FR,0,FR,L
2023,SE,FT,ML Engineer,USD,PT,100,PT,M
2023,SE,FT,AI Researcher,USD,IN,0,IN,L
2023,MI,FT,Data Analyst,USD,IN,100,IN,M
2023,MI,FT,Data Specialist,USD,SG,0,CH,L
2023,EN,FT,Director of Data Science,USD,US,100,US,M
2023,SE,FT,Data Architect,USD,ES,100,ES,M
2022,EX,FT,Data Analyst,USD,DK,0,DK,S
2022,SE,FT,Data Consultant,USD,GB,100,GB,M
2021,SE,FT,Data Scientist,USD,ES,50,ES,M
2023,SE,FT,Big Data Engineer,USD,US,0,US,M
2022,MI,FT,Data Analyst,USD,ES,100,ES,L
2023,MI,FT,Principal Data Scientist,USD,CA,50,CA,M
2022,SE,FT,Data Engineer,USD,US,0,US,L
2023,SE,FT,Analytics Engineer,USD,BR,100,BR,M
2021,SE,FT,Data Architect,USD,GB,0,CA,M
2023,MI,FT,Analytics Engineer,USD,IT,100,IT,M
2022,SE,FT,Data Consultant,USD,IN,100,IN,L
2023,SE,FT,Data Analyst,USD,US,0,US,M
2022,SE,FT,Data Engineer,USD,US,0,US,M
2023,SE,FT,Data Engineer,USD,BR,0,BR,M
2022,SE,FT,Computer Vision Engineer,USD,GB,0,GB,L
2022,SE,FT,ML Ops Engineer,USD,SE,50,US,L
2022,SE,FT,Machine Learning Engineer,USD,ES,100,ES,L
2022,SE,FT,Research Scientist,USD,KR,100,KR,L
2023,MI,FT,Head of Data,USD,IN,100,IN,S
2022,SE,FT,Data Engineer,USD,JP,100,JP,M
2021,MI,FT,Machine Learning Engineer,USD,IN,100,IN,S
2023,SE,FT,Data Analyst,USD,FR,100,FR,L
2023,SE,FT,Computer Vision Engineer,USD,SG,50,US,M
2023,EX,FT,Data Analyst,USD,MX,0,MX,S
2023,MI,FT,Data Engineer,USD,AU,0,AU,S
2022,EX,FT,Research Scientist,USD,CA,0,CA,L
2021,SE,FT,Analytics Engineer,USD,FR,0,FR,M
2023,SE,FT,Data Analyst,USD,DE,100,DE,L
2022,SE,FT,Data Engineer,USD,BR,100,BR,S
2023,EN,FT,Data Analyst,USD,DK,0,PT,M
2023,EX,FT,Data Engineer,USD,US,100,US,M
2022,SE,FT,Data Scientist,USD,DK,100,DK,M
2023,EX,FT,Research Scientist,USD,JP,100,SG,L
2023,MI,FT,Data Scientist,USD,IN,100,IN,M
2023,SE,FT,Data Analyst,USD,ES,50,ES,S
2021,MI,FT,AI Engineer,USD,MY,0,NL,M
2023,EN,FT,Data Science Manager,USD,US,50,US,M
2022,SE,FT,Data Scientist,USD,US,0,US,M
2023,MI,FT,Computer Vision Engineer,USD,NO,100,NO,L
2023,EN,FT,ML Engineer,USD,NL,100,NL,M
2021,EN,FT,Analytics Engineer,USD,KR,0,CA,M
2021,SE,FT,Data Engineer,USD,AU,50,AU,L
2023,SE,FT,AI Engineer,USD,ES,0,IN,L
2022,MI,FT,Principal Data Scientist,USD,HU,100,BR,M
2023,SE,FT,Principal Data Scientist,USD,ES,50,ES,M
2023,SE,FL,Data Architect,USD,US,0,US,L
2022,SE,FT,Data Engineer,USD,IN,0,IN,M
2022,SE,FT,Data Scientist,USD,AR,0,AR,M
2023,MI,FT,Data Architect,USD,US,0,US,M
2023,SE,FT,Big Data Engineer,USD,IN,0,IN,M
2021,EX,FT,Data Architect,USD,JP,0,JP,M
2023,SE,FT,Machine Learning Engineer,USD,AE,0,AE,L
2022,MI,FT,Director of Data Science,USD,PT,0,PT,L
2023,MI,FT,Lead Data Scientist,USD,US,100,US,M
2023,SE,FT,Applied Scientist,USD,GR,100,JP,M
2023,SE,FT,Data Architect,USD,DE,50,DE,M
2023,MI,FT,Data Engineer,USD,AU,0,ES,M
2022,MI,FT,Analytics Engineer,USD,AU,50,AU,M
2023,SE,FT,Data Analyst,USD,US,0,US,M
2022,EN,FT,Principal Data Scientist,USD,KR,100,KR,M
2022,MI,FT,AI Engineer,USD,AU,0,AU,M
2023,EN,FT,ML Engineer,USD,CA,100,CA,L
2023,SE,FT,Data Science Manager,USD,FR,0,FR,L
2023,EX,FT,Data Analyst,USD,IN,100,IN,M
2021,SE,FT,Data Specialist,USD,CA,100,IN,M
2022,MI,FT,Research Scientist,USD,MX,50,MX,M
2023,SE,FT,Data Analyst,USD,US,0,US,M
2023,EN,FT,BI Analyst,USD,AE,100,US,M
2022,SE,FT,Analytics Engineer,USD,IT,100,IT,M
2022,SE,FT,Data Architect,USD,JP,0,JP,M
2023,EN,FT,Data Analyst,USD,US,100,US,M
2023,MI,FT,Data Engineer,USD,CL,100,GB,L
2022,SE,FT,Data Analyst,USD,BR,100,BR,M
2023,EX,FT,Data Science Manager,USD,KR,100,KR,M
2023,MI,PT,Data Analyst,USD,CA,100,CA,M
2023,MI,FT,Machine Learning Engineer,USD,US,0,US,M
2023,MI,FT,Data Engineer,USD,MX,0,MX,S
2023,SE,FT,Data Product Manager,USD,BR,0,BR,M
2023,SE,FT,Data Engineer,USD,SG,0,SG,M
2023,EN,FT,Data Scientist,USD,TR,0,GB,M
2023,SE,FT,Data Engineer,USD,SE,0,SE,M
2022,SE,FT,Deep Learning Engineer,USD,FR,100,NL,M
2023,SE,FT,Data Scientist,USD,DE,100,NO,L
2023,EN,FT,Research Scientist,USD,ES,0,ES,M
2023,EX,FT,Machine Learning Engineer,USD,US,0,US,M
2023,EN,FT,Business Intelligence Engineer,USD,GB,0,GB,M
2023,SE,FT,Data Governance Analyst,USD,US,50,US,L
2021,EX,CT,Director of Data Science,USD,NL,0,NL,M
2021,MI,FT,Big Data Engineer,USD,FR,0,FR,L
2023,SE,FT,Research Scientist,USD,US,100,US,M
2022,MI,FT,Data Engineer,USD,SE,0,IN,M
2023,SE,FT,Lead Data Scientist,USD,IN,0,IN,S
2022,SE,FT,Analytics Engineer,USD,IT,100,IT,L
2023,SE,FT,Decision Scientist,USD,CL,0,CL,M
2023,EN,FT,Data Scientist,USD,CL,0,CL,M
2023,EN,FT,Data Engineer,USD,BR,0,BR,L
2023,EX,FL,Decision Scientist,USD,IN,0,IN,M
2022,SE,FT,Applied Scientist,USD,HU,0,HU,M
2023,SE,FT,ML Engineer,USD,IN,0,IN,S
2021,SE,FT,Machine Learning Engineer,USD,MY,0,KR,L
2021,MI,FT,Data Engineer,USD,US,100,US,S
2021,MI,FT,Data Analyst,USD,IN,100,IN,M
2022,EN,FT,Data Engineer,USD,KR,0,KR,L
2022,EX,PT,Data Analyst,USD,CA,0,CA,M
2023,SE,FT,Deep Learning Engineer,USD,IN,0,IN,M
2022,SE,FT,Business Intelligence Engineer,USD,HU,100,IN,M
2023,MI,FT,Data Architect,USD,IN,0,IN,M
2021,MI,FT,Data Scientist,USD,JP,100,US,L
2023,MI,FT,Data Analyst,USD,AR,0,IN,S
2023,MI,PT,Research Scientist,USD,AU,100,AU,M
2021,SE,FT,Machine Learning Engineer,USD,US,0,US,L
2023,EN,FT,ML Engineer,USD,SE,0,SE,M
2023,SE,FT,ML Engineer,USD,CA,100,CA,M
2023,SE,FT,Data Engineer,USD,SE,100,SE,M
2023,SE,FT,AI Engineer,USD,BR,0,BR,M
2023,SE,FT,Analytics Engineer,USD,PL,0,PL,L
2022,MI,FT,AI Engineer,USD,US,100,US,M
2022,EX,CT,Data Scientist,USD,DE,100,DE,M
2023,EX,FT,Research Scientist,USD,NZ,0,BR,S
2022,SE,FT,Data Engineer,USD,PT,100,PT,L
2023,SE,FT,Data Specialist,USD,MX,0,MX,M
2023,EN,FT,Applied Scientist,USD,CZ,0,CZ,M
2021,MI,FT,Data Engineer,USD,SG,0,US,L
2023,MI,FT,Data Analyst,USD,AU,100,AU,M
2023,SE,FT,Machine Learning Engineer,USD,MX,0,IN,L
2022,EX,FT,Data Analyst,USD,US,100,US,L
2023,SE,FT,Data Analyst,USD,IN,0,IN,M
2021,SE,FT,ML Ops Engineer,USD,SE,100,HU,S
2023,EN,FT,Data Analyst,USD,IN,0,ES,L
2023,MI,FT,Director of Data Science,USD,NZ,50,IN,S
2022,SE,FT,Data Architect,USD,PL,0,AR,M
2023,MI,FT,Data Scientist,USD,MX,0,MX,M
2021,SE,FT,Data Engineer,USD,IE,100,TR,S
2021,EN,FT,Director of Data Science,USD,FR,100,FR,M
2022,SE,FT,Lead Data Scientist,USD,US,100,US,M
2023,EX,FT,Data Engineer,USD,CA,50,CA,M
2022,SE,FT,Data Analyst,USD,MX,0,MX,S
2022,SE,FT,Data Scientist,USD,GB,100,GB,M
2023,EX,FT,Decision Scientist,USD,JP,0,JP,M
2023,SE,FT,Data Consultant,USD,HU,0,HU,M
2023,SE,FT,Data Engineer,USD,KR,0,KR,M
2023,SE,FT,Data Engineer,USD,BR,100,BR,M
2022,SE,FT,Data Scientist,USD,BR,100,BR,M
2023,SE,FT,Business Intelligence Engineer,USD,IN,100,IN,M
2023,SE,FT,Data Engineer,USD,CA,0,CA,M
2023,MI,FT,Data Engineer,USD,GB,0,GB,S
2023,MI,FT,Analytics Engineer,USD,IN,100,IN,S
2022,SE,FT,Lead Data Scientist,USD,NO,0,CA,S
2023,SE,FT,Research Scientist,USD,ES,0,ES,L
2023,EN,FT,Data Engineer,USD,IE,0,US,M
2021,SE,FT,Data Scientist,USD,KR,0,GB,L
2023,SE,FT,AI Engineer,USD,US,0,US,M
2022,MI,FT,Data Scientist,USD,ES,0,ES,L
2022,SE,FT,Data Engineer,USD,NZ,0,NZ,M
2022,SE,FT,Analytics Engineer,USD,IE,50,IE,M
2022,EN,FT,Principal Data Scientist,USD,AR,100,US,M
2023,SE,FT,Data Analyst,USD,US,100,US,M
2023,MI,FT,Data Analyst,USD,CA,0,CA,M
2022,MI,FT,Data Architect,USD,US,100,US,L
2023,MI,FT,Analytics Engineer,USD,IT,0,IT,M
2023,SE,FT,Research Scientist,USD,AR,0,NZ,L
2022,SE,FT,Data Scientist,USD,CL,0,CL,M
2022,MI,FT,Applied Scientist,USD,BR,100,BR,M
2022,SE,FT,Business Intelligence Engineer,USD,CL,100,CL,M
2023,SE,FT,Data Engineer,USD,IN,0,IN,M
2023,SE,FT,AI Engineer,USD,US,50,US,S
2023,SE,FT,Decision Scientist,USD,BR,100,BR,M
2022,SE,FT,Director of Data Science,USD,CH,100,DE,L
2022,SE,FT,Machine Learning Engineer,USD,IT,0,IT,M
2023,MI,FT,Business Intelligence Engineer,USD,KR,100,MX,M
2022,SE,FT,Decision Scientist,USD,US,0,US,M
2022,SE,PT,Data Analyst,USD,US,100,US,M
2022,EX,FT,Data Governance Analyst,USD,US,0,US,L
2022,MI,FT,Head of Data,USD,CL,0,CL,L
2021,EX,FT,Data Scientist,USD,GR,100,GR,M
2023,MI,FT,Research Scientist,USD,BR,50,JP,M
2022,SE,FT,Data Architect,USD,TR,50,TR,M
2023,SE,FT,Data Scientist,USD,US,0,US,M
2021,EN,FT,ML Ops Engineer,USD,IT,0,FR,L
2023,MI,FT,Data Engineer,USD,IN,0,IN,M
2023,SE,FT,Data Scientist,USD,NZ,100,NZ,M
2023,SE,FT,AI Researcher,USD,SG,100,SG,L
2022,SE,FT,Data Engineer,USD,CL,100,AR,M
2022,SE,PT,Data Scientist,USD,DK,0,DK,L
2023,SE,PT,NLP Engineer,USD,IN,100,IN,M
2023,MI,FT,ML Ops Engineer,USD,IN,100,IN,M
2023,EN,FT,Data Analyst,USD,CH,100,CH,M
2022,SE,FT,Data Engineer,USD,NL,100,NL,L
2023,SE,FT,Data Engineer,USD,CZ,50,HU,L
2023,MI,FT,Data Science Manager,USD,KR,0,KR,L
2023,SE,FT,BI Analyst,USD,AR,0,GB,M
2022,SE,FT,ML Engineer,USD,DE,100,DE,M
2023,MI,FT,Data Governance Analyst,USD,PL,0,PL,L
2021,MI,FT,Data Scientist,USD,ES,0,ES,S
2022,EN,FT,NLP Engineer,USD,NO,100,NO,M
2023,MI,FT,Data Analyst,USD,JP,0,JP,M
2022,SE,FT,Data Engineer,USD,IN,0,IN,M
2021,SE,FT,Data Scientist,USD,CH,0,CH,M
2023,SE,FT,Data Analyst,USD,US,50,US,S
2022,MI,FT,Data Scientist,USD,DE,100,DE,M
2022,SE,FT,Data Science Manager,USD,DE,100,DE,S
2021,SE,FT,Data Analyst,USD,AR,100,AR,M
2023,EN,FT,Data Scientist,USD,TR,0,GB,M
2022,MI,FT,Data Architect,USD,US,100,US,L
2023,MI,FT,Big Data Engineer,USD,KR,50,KR,M
2022,MI,FT,Machine Learning Engineer,USD,GB,0,GB,M
2023,SE,FT,Data Engineer,USD,SE,100,MX,M
2022,SE,CT,Data Science Manager,USD,CZ,50,DK,L
2023,SE,FT,Data Engineer,USD,US,50,US,L
2022,SE,FT,Data Architect,USD,FR,0,FR,M
2022,SE,FT,Data Engineer,USD,KR,100,KR,M
2021,MI,FT,Data Science Manager,USD,FR,100,FR,M
2023,MI,FT,Applied Scientist,USD,GB,0,GB,M
2022,SE,FT,Data Consultant,USD,NL,0,NL,M
2023,MI,FT,Data Engineer,USD,CH,0,CH,M
2023,MI,FT,Business Intelligence Engineer,USD,ES,100,ES,L
2023,SE,FT,Research Scientist,USD,ES,100,ES,L
2022,SE,FT,Applied Scientist,USD,DE,0,US,M
2023,SE,FT,Data Analyst,USD,SG,0,SG,M
2023,SE,FT,Data Consultant,USD,IN,100,IN,M
2023,EX,FT,Data Scientist,USD,IN,0,IN,M
2021,MI,FT,Data Scientist,USD,MX,0,MX,M
2023,SE,FT,Business Intelligence Engineer,USD,US,0,US,M
2022,EN,FT,Machine Learning Engineer,USD,NL,0,NL,M
2023,EN,FT,Data Product Manager,USD,FR,100,FR,M
2023,MI,FT,Analytics Engineer,USD,NO,100,NO,M
2023,EN,FT,Data Analyst,USD,US,0,US,M
